run,bucket,query,filter,embed,search,answer,end_to_end
1,short_inscope,ransomware attacks,1.8174689010002112,2.499638836000031,0.7925525870000456,6.851975101999869,11.961635426000157
1,short_inscope,zero-day exploit,0.5980968610001582,0.691451367999889,0.283684796000216,4.746704287999819,6.319937313000082
1,short_inscope,phishing campaign,0.8052093520000199,0.3632778800001688,0.2803816709997591,6.691502755000329,8.140371658000277
1,medium_inscope,recent data breach affecting healthcare providers,0.5349671210001361,0.28439125800014153,0.2847812779996275,4.370048876000055,5.47418853299996
1,medium_inscope,state-sponsored threat actors critical infrastructure,0.8195403359995908,0.2761517230001118,0.28913868700010426,5.6344919709999886,7.019322716999795
1,medium_inscope,vulnerability in VPN and firewall products,0.5221486709997407,0.2663285230000838,0.2806824530002814,5.296704963000138,6.365864610000244
1,long_inscope,I've been reading a lot lately and I was wondering if you could tell me about recent ransomware incidents that hit hospitals and what was stolen,0.7710776099997929,0.22813234700015528,0.2814275290002115,6.1105500670000765,7.391187553000236
1,long_inscope,Could you please help me understand what the latest news says about state-sponsored groups targeting power grids and other critical systems,0.5798340870001084,0.23901099699969564,0.2485624750001989,3.996573912000258,5.063981471000261
1,long_inscope,What do we currently know about newly disclosed remote code execution vulnerabilities in widely used enterprise VPN and firewall appliances,0.6527546809998057,0.24683288599999287,0.2843462270002419,9.493062738999924,10.676996532999965
1,out_of_scope,best pizza recipe in Naples,0.5892039099999238,0.2166085989997555,0.27973236500019993,0.9865308569997069,2.072075730999586
1,out_of_scope,who won the 2018 FIFA World Cup,0.5479930179999428,0.253337214000112,0.27893492700013667,1.1967268030002742,2.2769919620004657
1,out_of_scope,how do I knit a wool scarf for winter,0.5063603830003558,0.2450461250000444,0.24845549900010155,2.4759381120002217,3.4758001190007235
2,short_inscope,ransomware attacks,0.542242854000051,0.25019962599981227,0.2799856900001032,6.256478637000328,7.328906807000294
2,short_inscope,zero-day exploit,0.5807089019999694,0.2467275009998957,0.27818359200000486,2.482400934999987,3.588020929999857
2,short_inscope,phishing campaign,0.6024923469999521,0.27336801699993885,0.2844233619998704,6.719790082000145,7.880073807999906
2,medium_inscope,recent data breach affecting healthcare providers,0.5625962049998634,0.23668528799998967,0.24380535399996006,4.335096368999984,5.3781832159997975
2,medium_inscope,state-sponsored threat actors critical infrastructure,0.6313775000003261,0.24215714399997523,0.2828563910002231,4.925778629999968,6.082169665000492
2,medium_inscope,vulnerability in VPN and firewall products,0.5176726289996623,0.24096085900009712,0.30541370199989615,6.012249962000169,7.076297151999825
2,long_inscope,I've been reading a lot lately and I was wondering if you could tell me about recent ransomware incidents that hit hospitals and what was stolen,0.5045531179998761,0.24464635200001794,0.2803748650003399,5.176456801999848,6.206031137000082
2,long_inscope,Could you please help me understand what the latest news says about state-sponsored groups targeting power grids and other critical systems,0.5912453339997228,0.24974557999985336,0.29575879299954977,7.133880436999789,8.270630143998915
2,long_inscope,What do we currently know about newly disclosed remote code execution vulnerabilities in widely used enterprise VPN and firewall appliances,0.5954967529996793,0.2551670549996743,0.24228275199993732,9.87853216700023,10.971478726999521
2,out_of_scope,best pizza recipe in Naples,0.5865234570001121,0.2540020149999691,0.3165892720003285,2.40145992700036,3.5585746710007697
2,out_of_scope,who won the 2018 FIFA World Cup,0.5185334779998811,0.23275508699998682,0.243173177999779,0.8818349039997884,1.8762966469994353
2,out_of_scope,how do I knit a wool scarf for winter,0.5816828809997787,0.2435408340002141,0.24409627000022738,3.3307269030001407,4.400046888000361
3,short_inscope,ransomware attacks,0.5305600769997909,0.25324173199987854,0.2426217940001152,5.065581047999785,6.09200465099957
3,short_inscope,zero-day exploit,0.6140415009999742,0.2595914859998629,0.2747863280001184,3.452588242999809,4.601007557999765
3,short_inscope,phishing campaign,0.552497565000067,0.24139862199990603,0.3015876049998951,7.3086384970001745,8.404122289000043
3,medium_inscope,recent data breach affecting healthcare providers,0.5220374729997275,0.2546613909998996,0.2787269710001965,4.6193218010002965,5.67474763600012
3,medium_inscope,state-sponsored threat actors critical infrastructure,1.133726341000056,0.2703197060000093,0.2483529420001105,2.9337050969998018,4.5861040859999775
3,medium_inscope,vulnerability in VPN and firewall products,0.787608782999996,0.2332452740001827,0.24373950700010028,4.932249241000136,6.196842805000415
3,long_inscope,I've been reading a lot lately and I was wondering if you could tell me about recent ransomware incidents that hit hospitals and what was stolen,0.5434392900001512,0.23806724200039753,0.24101766000012503,5.184527080999942,6.207051273000616
3,long_inscope,Could you please help me understand what the latest news says about state-sponsored groups targeting power grids and other critical systems,0.6375614779999523,0.24322634800000742,0.2847440409996125,6.326994739000384,7.492526605999956
3,long_inscope,What do we currently know about newly disclosed remote code execution vulnerabilities in widely used enterprise VPN and firewall appliances,0.6369500280002285,0.2537486330002139,0.2510896779999712,10.410315241999797,11.55210358100021
3,out_of_scope,best pizza recipe in Naples,0.6278225140003997,0.25313653100010924,0.2438492100000076,1.9757721910000328,3.1005804460005493
3,out_of_scope,who won the 2018 FIFA World Cup,0.6144254880000517,0.2611946510000962,0.24322376200007056,1.04392026000005,2.1627641610002684
3,out_of_scope,how do I knit a wool scarf for winter,0.5122148239997841,0.2540111030002663,0.24444635999998354,3.612107962999744,4.622780249999778
